what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1370484345005
java.vm.specification.version,sysinfo,,,"1.7",1370484345005
java.vm.vendor,sysinfo,,,"Oracle Corporation",1370484345005
java.vm.version,sysinfo,,,"21.1-b02",1370484345005
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1370484345009
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370484346367
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1370484349622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484355995
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1370484365129
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1370484365166
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1370484365243
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1370484365254
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1370484365375
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1370484365722
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1370484366001
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1370484366022
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1370484374251
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1370484374493
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1370484374532
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1370484374698
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1370484374712
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1370484374810
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1370484374956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484375005
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1370484375053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484375531
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1370484376327
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1370484377738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484387879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484402190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484403002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484403169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484410172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370484410578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370484411186
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1370484411241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370484417871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370484422885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484432417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484443594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484451064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484457038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1370484500284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1370484500859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484525685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484528328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370484556349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484558791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484797768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370484799253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370485416601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370485418685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370485993434
